episode,mean_return,group_std,mean_queue,mean_wait,throughput,mean_loss
468,16.5364,1.1445,2.26,37.35,348,-0.006716
469,18.0026,1.0174,2.08,33.40,354,-0.006714
470,18.2407,1.1214,2.21,36.11,369,-0.006712
471,19.0459,1.0803,2.13,34.62,375,-0.006713
472,19.8542,1.1934,2.27,37.50,382,-0.006708
473,19.0782,1.1024,2.15,34.83,381,-0.006705
474,18.8221,1.1488,2.32,38.76,375,-0.006709
475,19.0599,1.1589,2.11,34.43,367,-0.006706
476,18.0500,1.0987,2.06,33.02,377,-0.006707
477,17.8873,1.1459,2.20,35.63,369,-0.006701
478,17.2616,1.1290,2.23,36.00,371,-0.006702
479,19.2499,1.1991,2.19,35.71,379,-0.006701
480,18.2029,1.1365,2.13,34.63,358,-0.006702
481,15.4696,1.0416,2.21,36.42,327,-0.006692
482,17.2255,1.2079,2.26,37.19,344,-0.006684
483,18.3871,1.0922,2.23,36.45,384,-0.006681
484,18.2810,1.0980,2.17,35.67,370,-0.006679
485,16.7071,1.2050,2.36,38.98,354,-0.006676
486,16.5991,1.1222,2.26,37.01,355,-0.006673
487,18.9462,1.1057,2.19,35.52,378,-0.006674
488,17.9689,1.0877,2.20,36.90,364,-0.006665
489,16.8331,1.0093,2.10,34.92,365,-0.006671
490,18.3240,1.1795,2.23,36.28,370,-0.006660
491,18.0226,1.1059,2.20,36.26,363,-0.006660
